"gene","mean_scanb","sd_scanb"
"EXO1",0.728224611017183,1.23588334285153
"NAT1",4.67658075081864,2.35238055709552
"BLVRA",5.6423403099203,0.759846690336561
"ACTR3B",1.41054101716107,0.859378635395156
"MIA",1.749363736207,2.61776578209958
"MYBL2",2.34357083187409,1.60156991975757
"PTTG1",3.56554248133148,1.11809060619263
"MDM2",3.32551611833057,0.605682204777845
"SFRP1",3.52896233511921,2.26256380100142
"GPR160",3.74764333991816,1.04482966682052
"FOXC1",1.6743858358623,1.42115040637603
"PHGDH",3.74297799148282,1.34615467627168
"MYC",5.07707648395653,0.966634491117889
"ESR1",5.69831390879788,2.36059084787372
"KRT5",4.06894171326203,2.60034031329043
"CXXC5",5.17112658859004,0.822076393119882
"PGR",1.72838613978944,2.49931958280364
"KRT17",4.4665725569332,2.50416314830916
"CENPF",2.01360530178349,1.08104697838806
"FGFR4",0.908980348189304,1.90547100704092
"BCL2",3.61659833327055,1.14472244693714
"MLPH",5.40879081247315,1.5996250208111
"ERBB2",6.06085413434829,1.35735902094276
"GRB7",3.52219405305988,1.36880782803386
