"gene","mean_scanb","sd_scanb"
"MYBL2",2.34357083187409,1.60156991975757
"EXO1",0.728224611017183,1.23588334285153
"CDC20",3.19754566285151,1.29134109564309
"CEP55",1.68684315820492,1.15423309309967
"ESR1",5.69831390879788,2.36059084787372
"NAT1",4.67658075081864,2.35238055709552
"PTTG1",3.56554248133148,1.11809060619263
"UBE2C",3.97558432703485,1.44050531347608
"FOXC1",1.6743858358623,1.42115040637603
"MLPH",5.40879081247315,1.5996250208111
"SFRP1",3.52896233511921,2.26256380100142
"MIA",1.749363736207,2.61776578209958
"BLVRA",5.6423403099203,0.759846690336561
"MDM2",3.32551611833057,0.605682204777845
"ACTR3B",1.41054101716107,0.859378635395156
"MELK",1.52521137326221,1.25287965264191
"KIF2C",1.69168069418991,1.18970282308221
"CDH3",2.51947489741396,1.63621527493192
"ANLN",1.798782204268,1.22254761184812
"CXXC5",5.17112658859004,0.822076393119882
"GPR160",3.74764333991816,1.04482966682052
"MYC",5.07707648395653,0.966634491117889
"FGFR4",0.908980348189304,1.90547100704092
"KRT17",4.4665725569332,2.50416314830916
"NUF2",1.2216388444605,1.26896725257414
"PHGDH",3.74297799148282,1.34615467627168
"UBE2T",3.30896118435789,1.11574772315451
"MAPT",3.56181020377777,2.05101997561104
"BIRC5",2.49622764563373,1.35091509814346
"PGR",1.72838613978944,2.49931958280364
"EGFR",1.78691122067081,1.30437002656313
"MMP11",7.03047561319532,1.68872905224797
"CCNB1",3.62999519649,0.928083602103093
"BCL2",3.61659833327055,1.14472244693714
"KRT14",4.18410671927782,2.76621008083288
"MKI67",1.62502460248097,1.10337074045484
"GRB7",3.52219405305988,1.36880782803386
"RRM2",2.94117046966395,1.26612969306001
"TYMS",2.2225317435743,1.03034025684354
"BAG1",4.40118260606734,0.751224944137245
"CCNE1",0.624707135459374,1.18086429708906
"SLC39A6",7.36714962934216,1.62820210891979
"KRT5",4.06894171326203,2.60034031329043
"TMEM45B",1.75033062383664,1.81489029327713
"ERBB2",6.06085413434829,1.35735902094276
"FOXA1",6.08902540236723,1.95227823846469
"ORC6",0.590930314201377,1.10842162377039
"CENPF",2.01360530178349,1.08104697838806
"CDC6",1.67210341553718,1.22792083274268
