gene,boot_count,boot_freq_pct,in_corepam
ACTR3B,200,100,TRUE
NAT1,200,100,TRUE
BLVRA,199,99.5,TRUE
MDM2,197,98.5,TRUE
EXO1,192,96,TRUE
MIA,183,91.5,TRUE
MYBL2,177,88.5,TRUE
GPR160,174,87,TRUE
SFRP1,164,82,TRUE
FOXC1,161,80.5,TRUE
PHGDH,160,80,TRUE
PTTG1,159,79.5,TRUE
ESR1,151,75.5,TRUE
MYC,147,73.5,TRUE
CXXC5,140,70,TRUE
FGFR4,137,68.5,TRUE
PGR,128,64,TRUE
MLPH,111,55.5,TRUE
CENPF,108,54,TRUE
CDC20,107,53.5,FALSE
CDH3,106,53,FALSE
MMP11,101,50.5,FALSE
KRT5,100,50,TRUE
BCL2,96,48,TRUE
EGFR,94,47,FALSE
BAG1,89,44.5,FALSE
KRT17,84,42,TRUE
GRB7,78,39,TRUE
UBE2T,75,37.5,FALSE
ERBB2,71,35.5,TRUE
TMEM45B,71,35.5,FALSE
CCNB1,69,34.5,FALSE
ANLN,68,34,FALSE
CCNE1,67,33.5,FALSE
ORC6,65,32.5,FALSE
CEP55,58,29,FALSE
KRT14,57,28.5,FALSE
BIRC5,56,28,FALSE
FOXA1,55,27.5,FALSE
MELK,54,27,FALSE
MAPT,53,26.5,FALSE
SLC39A6,52,26,FALSE
CDC6,46,23,FALSE
TYMS,39,19.5,FALSE
UBE2C,28,14,FALSE
NUF2,27,13.5,FALSE
RRM2,22,11,FALSE
NDC80,15,7.5,FALSE
KIF2C,12,6,FALSE
MKI67,10,5,FALSE
