decile,pred_mean,obs_surv,n,cohort,horizon
1,0.7539822578909946,0.6666666666666667,33,GSE20685,60
2,0.7903965264552811,0.8484848484848486,33,GSE20685,60
3,0.8110397964823083,0.8125,32,GSE20685,60
4,0.8269128723486945,0.6969696969696971,33,GSE20685,60
5,0.8406634561783144,0.8181818181818183,33,GSE20685,60
6,0.8548032078849126,0.8405172413793104,32,GSE20685,60
7,0.8659494316440017,1,33,GSE20685,60
8,0.8775487605745601,0.872844827586207,32,GSE20685,60
9,0.8902303327047422,0.9696969696969697,33,GSE20685,60
10,0.914175764698679,0.9080808080808082,33,GSE20685,60
