decile,pred_mean,obs_surv,n,cohort
1,0.7074382080028733,0.6667738840164629,198,METABRIC
2,0.7613171179331533,0.6723633268795365,198,METABRIC
3,0.7859854526497287,0.7431352504578111,198,METABRIC
4,0.8047133614245385,0.7558429634928624,197,METABRIC
5,0.8221537615403076,0.809596959976968,198,METABRIC
6,0.8364782471786856,0.8718630985293282,198,METABRIC
7,0.8504700508373495,0.9242613471215998,197,METABRIC
8,0.8637119086551583,0.921836791367171,198,METABRIC
9,0.8782406723151978,0.9202723484095228,198,METABRIC
10,0.8995099133695439,0.9417489792664081,198,METABRIC
