decile,pred_mean,obs_surv,n,cohort,horizon
1,0.6865858023127291,0.6821368854871344,307,SCANB,60
2,0.7976678316239054,0.822203175713229,307,SCANB,60
3,0.8492862206473719,0.882664015548701,307,SCANB,60
4,0.8790951986166231,0.8526330791824682,307,SCANB,60
5,0.89847963248294,0.9062625485996033,307,SCANB,60
6,0.9131928985623139,0.8967455222357118,306,SCANB,60
7,0.9253798794074843,0.9350537622757737,307,SCANB,60
8,0.9364366702384983,0.920069947796251,307,SCANB,60
9,0.9468709269588055,0.9454582660021442,307,SCANB,60
10,0.961168562326516,0.9557370486988576,307,SCANB,60
