decile,pred_mean,obs_surv,n,cohort
1,0.75435958938206,0.778173960323068,108,TCGA_BRCA
2,0.7799712505812333,0.8404398272155051,107,TCGA_BRCA
3,0.7983842376321602,0.5700135563821851,107,TCGA_BRCA
4,0.8116008572554537,0.7376646422433076,107,TCGA_BRCA
5,0.8206952731471848,0.7691184345515802,107,TCGA_BRCA
6,0.8280811595967024,0.8557796506995546,107,TCGA_BRCA
7,0.8346246953144846,0.9380199049316696,107,TCGA_BRCA
8,0.8408677298755067,0.8842770133092714,107,TCGA_BRCA
9,0.847958463254491,0.9492584745762712,107,TCGA_BRCA
10,0.8607176545942046,0.8516976649506744,108,TCGA_BRCA
