cohort,gene,c_full,c_drop,delta_c,n_samples,n_events,gene_present
TCGA_BRCA,EXO1,0.6238,0.6172,-0.0066,1072,150,TRUE
TCGA_BRCA,NAT1,0.6238,0.6238,-0,1072,150,TRUE
TCGA_BRCA,BLVRA,0.6238,0.6193,-0.0045,1072,150,TRUE
TCGA_BRCA,ACTR3B,0.6238,0.6175,-0.0063,1072,150,TRUE
TCGA_BRCA,MIA,0.6238,NA,NA,1072,150,FALSE
TCGA_BRCA,MYBL2,0.6238,0.6181,-0.0057,1072,150,TRUE
TCGA_BRCA,PTTG1,0.6238,0.6205,-0.0033,1072,150,TRUE
TCGA_BRCA,MDM2,0.6238,0.6211,-0.0027,1072,150,TRUE
TCGA_BRCA,SFRP1,0.6238,0.6144,-0.0094,1072,150,TRUE
TCGA_BRCA,GPR160,0.6238,0.6249,0.0011,1072,150,TRUE
TCGA_BRCA,FOXC1,0.6238,0.6247,8e-4,1072,150,TRUE
TCGA_BRCA,PHGDH,0.6238,0.624,2e-4,1072,150,TRUE
TCGA_BRCA,MYC,0.6238,0.6175,-0.0063,1072,150,TRUE
TCGA_BRCA,ESR1,0.6238,0.6235,-3e-4,1072,150,TRUE
TCGA_BRCA,KRT5,0.6238,0.6218,-0.002,1072,150,TRUE
TCGA_BRCA,CXXC5,0.6238,0.6227,-0.0011,1072,150,TRUE
TCGA_BRCA,PGR,0.6238,0.6233,-5e-4,1072,150,TRUE
TCGA_BRCA,KRT17,0.6238,0.6229,-9e-4,1072,150,TRUE
TCGA_BRCA,CENPF,0.6238,0.6249,0.0011,1072,150,TRUE
TCGA_BRCA,FGFR4,0.6238,0.6235,-3e-4,1072,150,TRUE
TCGA_BRCA,BCL2,0.6238,0.623,-8e-4,1072,150,TRUE
TCGA_BRCA,MLPH,0.6238,0.6242,4e-4,1072,150,TRUE
TCGA_BRCA,ERBB2,0.6238,0.6245,7e-4,1072,150,TRUE
TCGA_BRCA,GRB7,0.6238,0.624,2e-4,1072,150,TRUE
METABRIC,EXO1,0.6376,0.6059,-0.0317,1978,646,TRUE
METABRIC,NAT1,0.6376,0.6239,-0.0136,1978,646,TRUE
METABRIC,BLVRA,0.6376,0.6341,-0.0035,1978,646,TRUE
METABRIC,ACTR3B,0.6376,0.6378,2e-4,1978,646,TRUE
METABRIC,MIA,0.6376,0.6409,0.0034,1978,646,TRUE
METABRIC,MYBL2,0.6376,0.6409,0.0033,1978,646,TRUE
METABRIC,PTTG1,0.6376,0.6259,-0.0117,1978,646,TRUE
METABRIC,MDM2,0.6376,0.6385,0.001,1978,646,TRUE
METABRIC,SFRP1,0.6376,0.6387,0.0011,1978,646,TRUE
METABRIC,GPR160,0.6376,0.6385,9e-4,1978,646,TRUE
METABRIC,FOXC1,0.6376,0.6341,-0.0035,1978,646,TRUE
METABRIC,PHGDH,0.6376,0.6332,-0.0044,1978,646,TRUE
METABRIC,MYC,0.6376,0.638,4e-4,1978,646,TRUE
METABRIC,ESR1,0.6376,0.6409,0.0033,1978,646,TRUE
METABRIC,KRT5,0.6376,0.6383,8e-4,1978,646,TRUE
METABRIC,CXXC5,0.6376,0.6386,0.001,1978,646,TRUE
METABRIC,PGR,0.6376,0.6348,-0.0027,1978,646,TRUE
METABRIC,KRT17,0.6376,0.638,4e-4,1978,646,TRUE
METABRIC,CENPF,0.6376,0.6367,-9e-4,1978,646,TRUE
METABRIC,FGFR4,0.6376,0.6365,-0.0011,1978,646,TRUE
METABRIC,BCL2,0.6376,0.6363,-0.0013,1978,646,TRUE
METABRIC,MLPH,0.6376,0.6371,-4e-4,1978,646,TRUE
METABRIC,ERBB2,0.6376,0.6381,5e-4,1978,646,TRUE
METABRIC,GRB7,0.6376,0.6381,5e-4,1978,646,TRUE
GSE20685,EXO1,0.6262,0.6222,-0.0039,327,83,TRUE
GSE20685,NAT1,0.6262,0.5855,-0.0406,327,83,TRUE
GSE20685,BLVRA,0.6262,0.6341,0.0079,327,83,TRUE
GSE20685,ACTR3B,0.6262,0.6332,0.007,327,83,TRUE
GSE20685,MIA,0.6262,0.6113,-0.0148,327,83,TRUE
GSE20685,MYBL2,0.6262,0.6314,0.0053,327,83,TRUE
GSE20685,PTTG1,0.6262,0.6231,-0.0031,327,83,TRUE
GSE20685,MDM2,0.6262,0.6287,0.0026,327,83,TRUE
GSE20685,SFRP1,0.6262,0.624,-0.0022,327,83,TRUE
GSE20685,GPR160,0.6262,0.6218,-0.0044,327,83,TRUE
GSE20685,FOXC1,0.6262,0.6216,-0.0046,327,83,TRUE
GSE20685,PHGDH,0.6262,0.6239,-0.0022,327,83,TRUE
GSE20685,MYC,0.6262,0.6278,0.0017,327,83,TRUE
GSE20685,ESR1,0.6262,0.6321,0.0059,327,83,TRUE
GSE20685,KRT5,0.6262,0.6271,9e-4,327,83,TRUE
GSE20685,CXXC5,0.6262,0.6271,9e-4,327,83,TRUE
GSE20685,PGR,0.6262,0.6243,-0.0018,327,83,TRUE
GSE20685,KRT17,0.6262,0.6278,0.0016,327,83,TRUE
GSE20685,CENPF,0.6262,0.6248,-0.0013,327,83,TRUE
GSE20685,FGFR4,0.6262,0.6265,3e-4,327,83,TRUE
GSE20685,BCL2,0.6262,0.6251,-0.001,327,83,TRUE
GSE20685,MLPH,0.6262,0.6261,-0,327,83,TRUE
GSE20685,ERBB2,0.6262,0.6257,-5e-4,327,83,TRUE
GSE20685,GRB7,0.6262,0.6268,7e-4,327,83,TRUE
GSE1456,EXO1,0.6613,0.6219,-0.0394,159,40,TRUE
GSE1456,NAT1,0.6613,0.6177,-0.0437,159,40,TRUE
GSE1456,BLVRA,0.6613,0.6548,-0.0065,159,40,TRUE
GSE1456,ACTR3B,0.6613,0.6517,-0.0097,159,40,TRUE
GSE1456,MIA,0.6613,0.6719,0.0106,159,40,TRUE
GSE1456,MYBL2,0.6613,0.6658,0.0045,159,40,TRUE
GSE1456,PTTG1,0.6613,0.6428,-0.0186,159,40,TRUE
GSE1456,MDM2,0.6613,0.6651,0.0037,159,40,TRUE
GSE1456,SFRP1,0.6613,0.6481,-0.0132,159,40,TRUE
GSE1456,GPR160,0.6613,NA,NA,159,40,FALSE
GSE1456,FOXC1,0.6613,0.6513,-0.01,159,40,TRUE
GSE1456,PHGDH,0.6613,0.655,-0.0063,159,40,TRUE
GSE1456,MYC,0.6613,0.6608,-6e-4,159,40,TRUE
GSE1456,ESR1,0.6613,0.6613,0,159,40,TRUE
GSE1456,KRT5,0.6613,0.6599,-0.0015,159,40,TRUE
GSE1456,CXXC5,0.6613,NA,NA,159,40,FALSE
GSE1456,PGR,0.6613,0.6567,-0.0046,159,40,TRUE
GSE1456,KRT17,0.6613,NA,NA,159,40,FALSE
GSE1456,CENPF,0.6613,0.6586,-0.0028,159,40,TRUE
GSE1456,FGFR4,0.6613,0.6617,4e-4,159,40,TRUE
GSE1456,BCL2,0.6613,0.6602,-0.0011,159,40,TRUE
GSE1456,MLPH,0.6613,0.6604,-9e-4,159,40,TRUE
