cohort,gene,present,in_pam50
GSE20685,A1CF,TRUE,FALSE
GSE20685,A2M,TRUE,FALSE
GSE20685,A4GALT,TRUE,FALSE
GSE20685,A4GNT,TRUE,FALSE
GSE20685,AAAS,TRUE,FALSE
GSE20685,AACS,TRUE,FALSE
GSE20685,AADAC,TRUE,FALSE
GSE20685,AAGAB,TRUE,FALSE
GSE20685,AAK1,TRUE,FALSE
GSE20685,AAMDC,TRUE,FALSE
GSE20685,AAMP,TRUE,FALSE
GSE20685,AANAT,TRUE,FALSE
GSE20685,AAR2,TRUE,FALSE
GSE20685,AARS1,TRUE,FALSE
GSE20685,AARSD1,TRUE,FALSE
GSE20685,AASDHPPT,TRUE,FALSE
GSE20685,AASS,TRUE,FALSE
GSE20685,AATF,TRUE,FALSE
GSE20685,AATK,TRUE,FALSE
GSE20685,ABAT,TRUE,FALSE
GSE20685,ABCA1,TRUE,FALSE
GSE20685,ABCA11P,TRUE,FALSE
GSE20685,ABCA12,TRUE,FALSE
GSE20685,ABCA2,TRUE,FALSE
GSE20685,ABCA3,TRUE,FALSE
GSE20685,ABCA4,TRUE,FALSE
GSE20685,ABCA5,TRUE,FALSE
GSE20685,ABCA6,TRUE,FALSE
GSE20685,ABCA7,TRUE,FALSE
GSE20685,ABCA8,TRUE,FALSE
GSE20685,ABCB1,TRUE,FALSE
GSE20685,ABCB11,TRUE,FALSE
GSE20685,ABCB4,TRUE,FALSE
GSE20685,ABCB6,TRUE,FALSE
GSE20685,ABCB7,TRUE,FALSE
GSE20685,ABCB8,TRUE,FALSE
GSE20685,ABCB9,TRUE,FALSE
GSE20685,ABCC1,TRUE,FALSE
GSE20685,ABCC10,TRUE,FALSE
GSE20685,ABCC2,TRUE,FALSE
GSE20685,ABCC3,TRUE,FALSE
GSE20685,ABCC4,TRUE,FALSE
GSE20685,ABCC5,TRUE,FALSE
GSE20685,ABCC6,TRUE,FALSE
GSE20685,ABCC8,TRUE,FALSE
GSE20685,ABCC9,TRUE,FALSE
GSE20685,ABCD1,TRUE,FALSE
GSE20685,ABCD2,TRUE,FALSE
GSE20685,ABCD3,TRUE,FALSE
GSE20685,ABCD4,TRUE,FALSE
GSE20685,ABCE1,TRUE,FALSE
GSE20685,ABCF1,TRUE,FALSE
GSE20685,ABCF2,TRUE,FALSE
GSE20685,ABCF2-H2BK1,TRUE,FALSE
GSE20685,ABCF3,TRUE,FALSE
GSE20685,ABCG1,TRUE,FALSE
GSE20685,ABCG2,TRUE,FALSE
GSE20685,ABCG4,TRUE,FALSE
GSE20685,ABCG5,TRUE,FALSE
GSE20685,ABHD10,TRUE,FALSE
