cohort,gene,present,in_pam50
METABRIC,A1BG,TRUE,FALSE
METABRIC,A1CF,TRUE,FALSE
METABRIC,A2M,TRUE,FALSE
METABRIC,A2ML1,TRUE,FALSE
METABRIC,A4GALT,TRUE,FALSE
METABRIC,A4GNT,TRUE,FALSE
METABRIC,AAAS,TRUE,FALSE
METABRIC,AACS,TRUE,FALSE
METABRIC,AACSP1,TRUE,FALSE
METABRIC,AADAC,TRUE,FALSE
METABRIC,AADACL2,TRUE,FALSE
METABRIC,AADACL3,TRUE,FALSE
METABRIC,AADACL4,TRUE,FALSE
METABRIC,AADAT,TRUE,FALSE
METABRIC,AAK1,TRUE,FALSE
METABRIC,AAMDC,TRUE,FALSE
METABRIC,AAMP,TRUE,FALSE
METABRIC,AANAT,TRUE,FALSE
METABRIC,AAR2,TRUE,FALSE
METABRIC,AARD,TRUE,FALSE
METABRIC,AARS1,TRUE,FALSE
METABRIC,AARS2,TRUE,FALSE
METABRIC,AASDH,TRUE,FALSE
METABRIC,AASDHPPT,TRUE,FALSE
METABRIC,AASS,TRUE,FALSE
METABRIC,AATBC,TRUE,FALSE
METABRIC,AATF,TRUE,FALSE
METABRIC,AATK,TRUE,FALSE
METABRIC,ABAT,TRUE,FALSE
METABRIC,ABCA1,TRUE,FALSE
METABRIC,ABCA10,TRUE,FALSE
METABRIC,ABCA11P,TRUE,FALSE
METABRIC,ABCA12,TRUE,FALSE
METABRIC,ABCA13,TRUE,FALSE
METABRIC,ABCA15P,TRUE,FALSE
METABRIC,ABCA17P,TRUE,FALSE
METABRIC,ABCA2,TRUE,FALSE
METABRIC,ABCA3,TRUE,FALSE
METABRIC,ABCA4,TRUE,FALSE
METABRIC,ABCA5,TRUE,FALSE
METABRIC,ABCA6,TRUE,FALSE
METABRIC,ABCA7,TRUE,FALSE
METABRIC,ABCA8,TRUE,FALSE
METABRIC,ABCA9,TRUE,FALSE
METABRIC,ABCB1,TRUE,FALSE
METABRIC,ABCB10,TRUE,FALSE
METABRIC,ABCB11,TRUE,FALSE
METABRIC,ABCB4,TRUE,FALSE
METABRIC,ABCB5,TRUE,FALSE
METABRIC,ABCB6,TRUE,FALSE
METABRIC,ABCB7,TRUE,FALSE
METABRIC,ABCB8,TRUE,FALSE
METABRIC,ABCB9,TRUE,FALSE
METABRIC,ABCC1,TRUE,FALSE
METABRIC,ABCC10,TRUE,FALSE
METABRIC,ABCC11,TRUE,FALSE
METABRIC,ABCC12,TRUE,FALSE
METABRIC,ABCC13,TRUE,FALSE
METABRIC,ABCC2,TRUE,FALSE
METABRIC,ABCC3,TRUE,FALSE
METABRIC,ABCC4,TRUE,FALSE
METABRIC,ABCC5,TRUE,FALSE
METABRIC,ABCC6,TRUE,FALSE
METABRIC,ABCC8,TRUE,FALSE
METABRIC,ABCC9,TRUE,FALSE
METABRIC,ABCD1,TRUE,FALSE
METABRIC,ABCD2,TRUE,FALSE
METABRIC,ABCD3,TRUE,FALSE
METABRIC,ABCD4,TRUE,FALSE
METABRIC,ABCE1,TRUE,FALSE
METABRIC,ABCF1,TRUE,FALSE
METABRIC,ABCF2,TRUE,FALSE
METABRIC,ABCF3,TRUE,FALSE
METABRIC,ABCG1,TRUE,FALSE
METABRIC,ABCG2,TRUE,FALSE
METABRIC,ABCG4,TRUE,FALSE
METABRIC,ABCG5,TRUE,FALSE
METABRIC,ABCG8,TRUE,FALSE
METABRIC,ABHD1,TRUE,FALSE
METABRIC,ABHD10,TRUE,FALSE
METABRIC,ABHD11,TRUE,FALSE
METABRIC,ABHD12,TRUE,FALSE
METABRIC,ABHD12B,TRUE,FALSE
METABRIC,ABHD13,TRUE,FALSE
METABRIC,ABHD14A,TRUE,FALSE
METABRIC,ABHD14B,TRUE,FALSE
METABRIC,ABHD15,TRUE,FALSE
METABRIC,ABHD16A,TRUE,FALSE
METABRIC,ABHD16B,TRUE,FALSE
METABRIC,ABHD17A,TRUE,FALSE
METABRIC,ABHD17AP3,TRUE,FALSE
METABRIC,ABHD17B,TRUE,FALSE
METABRIC,ABHD17C,TRUE,FALSE
METABRIC,ABHD18,TRUE,FALSE
METABRIC,ABHD2,TRUE,FALSE
METABRIC,ABHD3,TRUE,FALSE
METABRIC,ABHD4,TRUE,FALSE
METABRIC,ABHD5,TRUE,FALSE
METABRIC,ABHD6,TRUE,FALSE
METABRIC,ABHD8,TRUE,FALSE
METABRIC,ABI1,TRUE,FALSE
METABRIC,ABI2,TRUE,FALSE
METABRIC,ABI3,TRUE,FALSE
METABRIC,ABI3BP,TRUE,FALSE
METABRIC,ABITRAM,TRUE,FALSE
METABRIC,ABL1,TRUE,FALSE
METABRIC,ABL2,TRUE,FALSE
METABRIC,ABLIM1,TRUE,FALSE
METABRIC,ABLIM2,TRUE,FALSE
METABRIC,ABLIM3,TRUE,FALSE
METABRIC,ABO,TRUE,FALSE
METABRIC,ABR,TRUE,FALSE
METABRIC,ABRA,TRUE,FALSE
METABRIC,ABRACL,TRUE,FALSE
METABRIC,ABRAXAS1,TRUE,FALSE
METABRIC,ABRAXAS2,TRUE,FALSE
METABRIC,ABT1,TRUE,FALSE
METABRIC,ABTB1,TRUE,FALSE
METABRIC,ABTB2,TRUE,FALSE
METABRIC,ABTB3,TRUE,FALSE
METABRIC,ACAA1,TRUE,FALSE
METABRIC,ACAA2,TRUE,FALSE
METABRIC,ACACA,TRUE,FALSE
METABRIC,ACACB,TRUE,FALSE
METABRIC,ACAD10,TRUE,FALSE
METABRIC,ACAD11,TRUE,FALSE
METABRIC,ACAD8,TRUE,FALSE
METABRIC,ACAD9,TRUE,FALSE
METABRIC,ACADL,TRUE,FALSE
METABRIC,ACADM,TRUE,FALSE
METABRIC,ACADS,TRUE,FALSE
METABRIC,ACADSB,TRUE,FALSE
METABRIC,ACADVL,TRUE,FALSE
METABRIC,ACAN,TRUE,FALSE
METABRIC,ACAP1,TRUE,FALSE
METABRIC,ACAP2,TRUE,FALSE
METABRIC,ACAP3,TRUE,FALSE
METABRIC,ACAT1,TRUE,FALSE
METABRIC,ACAT2,TRUE,FALSE
METABRIC,ACBD3,TRUE,FALSE
METABRIC,ACBD4,TRUE,FALSE
METABRIC,ACBD5,TRUE,FALSE
