cohort,gene,present,in_pam50
SCANB,A1BG,TRUE,FALSE
SCANB,A1BG-AS1,TRUE,FALSE
SCANB,A1CF,TRUE,FALSE
SCANB,A2M,TRUE,FALSE
SCANB,A2M-AS1,TRUE,FALSE
SCANB,A2ML1,TRUE,FALSE
SCANB,A2MP1,TRUE,FALSE
SCANB,A3GALT2,TRUE,FALSE
SCANB,A4GALT,TRUE,FALSE
SCANB,A4GNT,TRUE,FALSE
SCANB,AAAS,TRUE,FALSE
SCANB,AACS,TRUE,FALSE
SCANB,AACSP1,TRUE,FALSE
SCANB,AADAC,TRUE,FALSE
SCANB,AADACL2,TRUE,FALSE
SCANB,AADACL3,TRUE,FALSE
SCANB,AADACL4,TRUE,FALSE
SCANB,AADAT,TRUE,FALSE
SCANB,AAGAB,TRUE,FALSE
SCANB,AAK1,TRUE,FALSE
SCANB,AAMDC,TRUE,FALSE
SCANB,AAMP,TRUE,FALSE
SCANB,AANAT,TRUE,FALSE
SCANB,AAR2,TRUE,FALSE
SCANB,AARD,TRUE,FALSE
SCANB,AARS1,TRUE,FALSE
SCANB,AARS2,TRUE,FALSE
SCANB,AARSD1,TRUE,FALSE
SCANB,AASDH,TRUE,FALSE
SCANB,AASDHPPT,TRUE,FALSE
SCANB,AASS,TRUE,FALSE
SCANB,AATF,TRUE,FALSE
SCANB,AATK,TRUE,FALSE
SCANB,ABAT,TRUE,FALSE
SCANB,ABCA1,TRUE,FALSE
SCANB,ABCA10,TRUE,FALSE
SCANB,ABCA11P,TRUE,FALSE
SCANB,ABCA12,TRUE,FALSE
SCANB,ABCA13,TRUE,FALSE
SCANB,ABCA15P,TRUE,FALSE
SCANB,ABCA17P,TRUE,FALSE
SCANB,ABCA2,TRUE,FALSE
SCANB,ABCA3,TRUE,FALSE
SCANB,ABCA4,TRUE,FALSE
SCANB,ABCA5,TRUE,FALSE
SCANB,ABCA6,TRUE,FALSE
SCANB,ABCA7,TRUE,FALSE
SCANB,ABCA8,TRUE,FALSE
SCANB,ABCA9,TRUE,FALSE
SCANB,ABCB1,TRUE,FALSE
SCANB,ABCB10,TRUE,FALSE
SCANB,ABCB11,TRUE,FALSE
SCANB,ABCB4,TRUE,FALSE
SCANB,ABCB5,TRUE,FALSE
SCANB,ABCB6,TRUE,FALSE
SCANB,ABCB7,TRUE,FALSE
SCANB,ABCB8,TRUE,FALSE
SCANB,ABCB9,TRUE,FALSE
SCANB,ABCC1,TRUE,FALSE
SCANB,ABCC10,TRUE,FALSE
SCANB,ABCC11,TRUE,FALSE
SCANB,ABCC12,TRUE,FALSE
SCANB,ABCC13,TRUE,FALSE
SCANB,ABCC2,TRUE,FALSE
SCANB,ABCC3,TRUE,FALSE
SCANB,ABCC4,TRUE,FALSE
SCANB,ABCC5,TRUE,FALSE
SCANB,ABCC5-AS1,TRUE,FALSE
