cohort,gene,present,in_pam50
TCGA_BRCA,A1BG-AS1,TRUE,FALSE
TCGA_BRCA,A2M,TRUE,FALSE
TCGA_BRCA,A2M-AS1,TRUE,FALSE
TCGA_BRCA,A2ML1,TRUE,FALSE
TCGA_BRCA,A4GALT,TRUE,FALSE
TCGA_BRCA,AAAS,TRUE,FALSE
TCGA_BRCA,AACS,TRUE,FALSE
TCGA_BRCA,AADAT,TRUE,FALSE
TCGA_BRCA,AAGAB,TRUE,FALSE
TCGA_BRCA,AAK1,TRUE,FALSE
TCGA_BRCA,AAMDC,TRUE,FALSE
TCGA_BRCA,AAMP,TRUE,FALSE
TCGA_BRCA,AAR2,TRUE,FALSE
TCGA_BRCA,AARD,TRUE,FALSE
TCGA_BRCA,AARS1,TRUE,FALSE
TCGA_BRCA,AARS2,TRUE,FALSE
TCGA_BRCA,AARSD1,TRUE,FALSE
TCGA_BRCA,AASDH,TRUE,FALSE
TCGA_BRCA,AASDHPPT,TRUE,FALSE
TCGA_BRCA,AASS,TRUE,FALSE
TCGA_BRCA,AATBC,TRUE,FALSE
TCGA_BRCA,AATF,TRUE,FALSE
TCGA_BRCA,AATK,TRUE,FALSE
TCGA_BRCA,ABAT,TRUE,FALSE
TCGA_BRCA,ABCA1,TRUE,FALSE
TCGA_BRCA,ABCA10,TRUE,FALSE
TCGA_BRCA,ABCA12,TRUE,FALSE
TCGA_BRCA,ABCA2,TRUE,FALSE
TCGA_BRCA,ABCA3,TRUE,FALSE
TCGA_BRCA,ABCA4,TRUE,FALSE
TCGA_BRCA,ABCA5,TRUE,FALSE
TCGA_BRCA,ABCA6,TRUE,FALSE
TCGA_BRCA,ABCA7,TRUE,FALSE
TCGA_BRCA,ABCA8,TRUE,FALSE
TCGA_BRCA,ABCA9,TRUE,FALSE
TCGA_BRCA,ABCB1,TRUE,FALSE
TCGA_BRCA,ABCB10,TRUE,FALSE
TCGA_BRCA,ABCB4,TRUE,FALSE
TCGA_BRCA,ABCB6,TRUE,FALSE
TCGA_BRCA,ABCB7,TRUE,FALSE
TCGA_BRCA,ABCB8,TRUE,FALSE
TCGA_BRCA,ABCB9,TRUE,FALSE
TCGA_BRCA,ABCC1,TRUE,FALSE
TCGA_BRCA,ABCC10,TRUE,FALSE
TCGA_BRCA,ABCC11,TRUE,FALSE
TCGA_BRCA,ABCC2,TRUE,FALSE
TCGA_BRCA,ABCC3,TRUE,FALSE
TCGA_BRCA,ABCC4,TRUE,FALSE
TCGA_BRCA,ABCC5,TRUE,FALSE
TCGA_BRCA,ABCC6,TRUE,FALSE
TCGA_BRCA,ABCC8,TRUE,FALSE
TCGA_BRCA,ABCC9,TRUE,FALSE
TCGA_BRCA,ABCD1,TRUE,FALSE
TCGA_BRCA,ABCD2,TRUE,FALSE
TCGA_BRCA,ABCD3,TRUE,FALSE
TCGA_BRCA,ABCD4,TRUE,FALSE
TCGA_BRCA,ABCE1,TRUE,FALSE
TCGA_BRCA,ABCF1,TRUE,FALSE
TCGA_BRCA,ABCF2,TRUE,FALSE
TCGA_BRCA,ABCF3,TRUE,FALSE
TCGA_BRCA,ABCG1,TRUE,FALSE
TCGA_BRCA,ABCG2,TRUE,FALSE
TCGA_BRCA,ABHD1,TRUE,FALSE
TCGA_BRCA,ABHD10,TRUE,FALSE
TCGA_BRCA,ABHD11,TRUE,FALSE
